date_only,sentiment_score,article_count,prev,change
2022-01-24,-0.4,5,1.0,-1.4
2022-01-26,0.45,40,-0.12121212121212122,0.5712121212121213
2022-02-24,0.65,20,0.14285714285714285,0.5071428571428571
2022-03-28,-0.9047619047619048,21,0.2549019607843137,-1.1596638655462184
2022-03-30,0.5,40,-0.5,1.0
2022-05-30,0.2,25,0.8571428571428571,-0.657142857142857
2022-07-30,-0.3333333333333333,6,0.43902439024390244,-0.7723577235772358
2022-07-31,0.5833333333333334,12,-0.3333333333333333,0.9166666666666667
2022-09-28,-0.11764705882352941,17,0.4482758620689655,-0.565922920892495
2022-10-26,0.625,8,-0.5517241379310345,1.1767241379310345
2022-10-27,0.05660377358490566,159,0.625,-0.5683962264150944
2022-11-29,0.5405405405405406,37,0.0,0.5405405405405406
2023-02-26,0.5555555555555556,18,-0.25625,0.8118055555555556
2023-04-22,-1.0,21,0.20833333333333334,-1.2083333333333333
2023-04-23,-0.1,10,-1.0,0.9
2023-04-26,0.72,25,0.18181818181818182,0.5381818181818181
2023-04-27,-0.3629032258064516,124,0.72,-1.0829032258064517
2023-04-28,0.1935483870967742,31,-0.3629032258064516,0.5564516129032258
2023-05-30,0.7272727272727273,44,0.0,0.7272727272727273
2023-07-26,0.7272727272727273,33,0.15625,0.5710227272727273
2023-07-27,-0.375,72,0.7272727272727273,-1.1022727272727273
2023-07-28,0.5,26,-0.375,0.875
2023-08-30,0.2894736842105263,38,0.9090909090909091,-0.6196172248803827
2023-09-26,1.0,16,0.1111111111111111,0.8888888888888888
2023-10-30,1.0,14,0.42857142857142855,0.5714285714285714
2023-10-31,0.0423728813559322,118,1.0,-0.9576271186440678
2023-11-27,0.8,20,0.0423728813559322,0.7576271186440678
2023-12-25,0.8571428571428571,7,0.2777777777777778,0.5793650793650793
2023-12-28,0.3157894736842105,38,0.8823529411764706,-0.56656346749226
2024-01-29,-0.8571428571428571,7,0.625,-1.4821428571428572
2024-01-30,0.5,6,-0.8571428571428571,1.3571428571428572
2024-02-26,0.8333333333333334,6,0.02564102564102564,0.8076923076923077
2024-04-30,0.7006802721088435,147,0.2,0.5006802721088435
2024-05-29,-0.9444444444444444,108,0.7006802721088435,-1.6451247165532878
2024-05-30,-0.3181818181818182,66,-0.9444444444444444,0.6262626262626263
2024-06-27,0.6666666666666666,12,0.09090909090909091,0.5757575757575757
2024-07-31,0.635036496350365,137,0.0,0.635036496350365
2024-08-26,-0.625,8,0.635036496350365,-1.260036496350365
2024-08-27,0.8823529411764706,17,-0.625,1.5073529411764706
2024-08-29,-0.07692307692307693,39,0.5,-0.5769230769230769
2024-09-29,0.7777777777777778,18,0.0,0.7777777777777778
2024-09-30,-0.4411764705882353,34,0.7777777777777778,-1.2189542483660132
2024-10-30,0.7272727272727273,11,-0.4411764705882353,1.1684491978609626
2024-11-28,0.5714285714285714,35,0.06896551724137931,0.5024630541871921
2024-12-27,-0.6,5,0.5555555555555556,-1.1555555555555554
2024-12-29,0.8571428571428571,7,-0.6,1.457142857142857
2025-01-30,-0.25,8,0.7894736842105263,-1.0394736842105263
2025-02-24,0.8947368421052632,19,0.21468926553672316,0.68004757656854
2025-04-30,0.6055045871559633,109,0.0,0.6055045871559633
2025-05-27,0.7333333333333333,30,0.125,0.6083333333333333
2025-06-29,0.3,10,0.8333333333333334,-0.5333333333333334
2025-07-31,0.008264462809917356,121,0.6551724137931034,-0.6469079509831861
2025-08-24,1.0,10,0.008264462809917356,0.9917355371900827
2025-09-28,0.875,8,0.05555555555555555,0.8194444444444444
2025-11-25,0.9080459770114943,87,0.2,0.7080459770114942
