date_only,sentiment_score,article_count,prev,change
2022-01-24,-0.8,5,1.0,-1.8
2022-01-25,-0.0625,32,-0.8,0.7375
2022-02-20,1.0,6,0.2,0.8
2022-02-23,0.375,16,1.0,-0.625
2022-02-25,0.2,30,0.7083333333333334,-0.5083333333333333
2022-03-28,-0.5789473684210527,19,0.26,-0.8389473684210527
2022-03-30,0.5526315789473685,38,-0.125,0.6776315789473685
2022-07-30,-0.6666666666666666,6,0.55,-1.2166666666666668
2022-07-31,0.5833333333333334,12,-0.6666666666666666,1.25
2022-09-28,-0.058823529411764705,17,0.5517241379310345,-0.6105476673427992
2022-09-30,-0.5862068965517241,29,0.25,-0.8362068965517241
2022-10-26,0.625,8,-0.5862068965517241,1.2112068965517242
2022-10-28,-0.14285714285714285,14,0.3717948717948718,-0.5146520146520146
2023-02-26,0.5,14,-0.1984126984126984,0.6984126984126984
2023-04-22,-1.0,20,0.21739130434782608,-1.2173913043478262
2023-04-23,-0.125,8,-1.0,0.875
2023-04-26,0.76,25,0.18181818181818182,0.5781818181818181
2023-04-27,-0.30833333333333335,120,0.76,-1.0683333333333334
2023-05-30,0.6666666666666666,45,-0.16666666666666666,0.8333333333333333
2023-07-26,0.7777777777777778,9,0.1935483870967742,0.5842293906810037
2023-07-27,-0.05263157894736842,19,0.7777777777777778,-0.8304093567251463
2023-08-30,0.3157894736842105,38,0.9166666666666666,-0.6008771929824561
2023-09-26,1.0,11,0.2,0.8
2023-09-27,0.48,25,1.0,-0.52
2023-10-31,0.13043478260869565,115,1.0,-0.8695652173913043
2023-11-27,1.0,20,0.13043478260869565,0.8695652173913043
2023-12-28,0.2631578947368421,38,0.8867924528301887,-0.6236345580933467
2024-01-29,-0.875,8,0.7142857142857143,-1.5892857142857144
2024-01-30,1.0,5,-0.875,1.875
2024-01-31,0.175,120,1.0,-0.825
2024-02-27,0.7804878048780488,41,0.175,0.6054878048780488
2024-03-27,-0.16666666666666666,6,0.775,-0.9416666666666667
2024-03-28,0.6,25,-0.16666666666666666,0.7666666666666666
2024-05-29,-0.9523809523809523,84,0.686046511627907,-1.6384274640088594
2024-05-30,-0.2978723404255319,47,-0.9523809523809523,0.6545086119554204
2024-06-23,-0.6,5,-0.075,-0.525
2024-06-25,0.8571428571428571,7,-0.6,1.457142857142857
2024-06-26,0.3333333333333333,9,0.8571428571428571,-0.5238095238095237
2024-07-31,0.6835443037974683,158,0.18181818181818182,0.5017261219792866
2024-08-26,-0.18181818181818182,11,0.6835443037974683,-0.8653624856156501
2024-08-27,0.8181818181818182,33,-0.18181818181818182,1.0
2024-08-29,-0.06,50,0.5217391304347826,-0.5817391304347825
2024-09-29,0.875,16,0.0,0.875
2024-09-30,-0.375,40,0.875,-1.25
2024-10-30,0.42857142857142855,7,-0.375,0.8035714285714286
2024-11-26,-0.42857142857142855,7,0.44715447154471544,-0.8757259001161439
2024-11-28,0.6842105263157895,38,0.06896551724137931,0.6152450090744102
2024-12-27,-0.4,5,0.625,-1.025
2024-12-29,0.8666666666666667,15,-0.4,1.2666666666666666
2025-01-30,-0.25,8,0.9310344827586207,-1.1810344827586206
2025-01-31,0.4444444444444444,180,-0.25,0.6944444444444444
2025-02-28,0.2727272727272727,22,0.8095238095238095,-0.5367965367965368
2025-07-31,0.17073170731707318,123,0.896551724137931,-0.7258200168208578
2025-08-29,0.0,13,0.6153846153846154,-0.6153846153846154
2025-09-28,1.0,5,0.11764705882352941,0.8823529411764706
