date_only,sentiment_score,article_count,prev,change
2022-01-23,1.0,5,,
2022-01-24,-0.8,5,1.0,-1.8
2022-01-25,-0.0625,32,-0.8,0.7375
2022-01-26,0.40476190476190477,42,-0.0625,0.46726190476190477
2022-01-27,0.8584070796460177,113,0.40476190476190477,0.45364517488411293
2022-01-28,0.7333333333333333,15,0.8584070796460177,-0.12507374631268442
2022-01-29,0.6,5,0.7333333333333333,-0.1333333333333333
2022-01-30,0.2222222222222222,9,0.6,-0.37777777777777777
2022-01-31,0.2,5,0.2222222222222222,-0.0222222222222222
2022-02-20,1.0,6,0.2,0.8
2022-02-23,0.375,16,1.0,-0.625
2022-02-24,0.7083333333333334,24,0.375,0.33333333333333337
2022-02-25,0.2,30,0.7083333333333334,-0.5083333333333333
2022-02-27,0.3870967741935484,31,0.2,0.18709677419354837
2022-02-28,0.26,50,0.3870967741935484,-0.12709677419354837
2022-03-28,-0.5789473684210527,19,0.26,-0.8389473684210527
2022-03-29,-0.125,16,-0.5789473684210527,0.45394736842105265
2022-03-30,0.5526315789473685,38,-0.125,0.6776315789473685
2022-03-31,0.6875,16,0.5526315789473685,0.13486842105263153
2022-04-27,1.0,8,0.6875,0.3125
2022-04-28,0.6972477064220184,109,1.0,-0.3027522935779816
2022-04-29,0.5,64,0.6972477064220184,-0.1972477064220184
2022-04-30,0.6,10,0.5,0.09999999999999998
2022-05-27,1.0,5,0.6,0.4
2022-05-29,0.8333333333333334,12,1.0,-0.16666666666666663
2022-05-30,0.35294117647058826,17,0.8333333333333334,-0.4803921568627451
2022-05-31,0.19230769230769232,26,0.35294117647058826,-0.16063348416289594
2022-06-29,0.5882352941176471,17,0.19230769230769232,0.3959276018099548
2022-06-30,0.8857142857142857,35,0.5882352941176471,0.2974789915966386
2022-07-25,1.0,35,0.8857142857142857,0.11428571428571432
2022-07-27,0.631578947368421,19,1.0,-0.368421052631579
2022-07-28,0.6666666666666666,93,0.631578947368421,0.03508771929824561
2022-07-29,0.55,40,0.6666666666666666,-0.11666666666666659
2022-07-30,-0.6666666666666666,6,0.55,-1.2166666666666668
2022-07-31,0.5833333333333334,12,-0.6666666666666666,1.25
2022-08-29,0.42857142857142855,35,0.5833333333333334,-0.15476190476190482
2022-08-30,0.3448275862068966,29,0.42857142857142855,-0.08374384236453197
2022-08-31,0.5517241379310345,29,0.3448275862068966,0.2068965517241379
2022-09-28,-0.058823529411764705,17,0.5517241379310345,-0.6105476673427992
2022-09-29,0.25,20,-0.058823529411764705,0.3088235294117647
2022-09-30,-0.5862068965517241,29,0.25,-0.8362068965517241
2022-10-26,0.625,8,-0.5862068965517241,1.2112068965517242
2022-10-27,0.3717948717948718,156,0.625,-0.2532051282051282
2022-10-28,-0.14285714285714285,14,0.3717948717948718,-0.5146520146520146
2022-10-29,-0.3333333333333333,9,-0.14285714285714285,-0.19047619047619047
2022-10-30,0.10526315789473684,19,-0.3333333333333333,0.43859649122807015
2022-10-31,0.2647058823529412,34,0.10526315789473684,0.15944272445820434
2022-11-28,0.0,7,0.2647058823529412,-0.2647058823529412
2022-11-29,0.48717948717948717,39,0.0,0.48717948717948717
2022-11-30,0.7631578947368421,38,0.48717948717948717,0.275978407557355
2022-12-25,0.7142857142857143,7,0.7631578947368421,-0.048872180451127845
2022-12-26,0.6666666666666666,30,0.7142857142857143,-0.04761904761904767
2022-12-27,0.8571428571428571,21,0.6666666666666666,0.19047619047619047
2022-12-28,0.525,40,0.8571428571428571,-0.3321428571428571
2022-12-29,0.4838709677419355,31,0.525,-0.041129032258064524
2022-12-30,0.05555555555555555,18,0.4838709677419355,-0.4283154121863799
2023-01-30,0.2,5,0.05555555555555555,0.14444444444444446
2023-01-31,-0.1984126984126984,126,0.2,-0.39841269841269844
2023-02-26,0.5,14,-0.1984126984126984,0.6984126984126984
2023-02-27,0.375,32,0.5,-0.125
2023-02-28,0.52,25,0.375,0.14500000000000002
2023-03-29,0.8108108108108109,37,0.52,0.29081081081081084
2023-03-30,0.49230769230769234,65,0.8108108108108109,-0.3185031185031185
2023-03-31,0.21739130434782608,23,0.49230769230769234,-0.2749163879598663
2023-04-22,-1.0,20,0.21739130434782608,-1.2173913043478262
2023-04-23,-0.125,8,-1.0,0.875
2023-04-24,-0.2222222222222222,9,-0.125,-0.09722222222222221
2023-04-25,0.18181818181818182,33,-0.2222222222222222,0.40404040404040403
2023-04-26,0.76,25,0.18181818181818182,0.5781818181818181
2023-04-27,-0.30833333333333335,120,0.76,-1.0683333333333334
2023-04-28,-0.03333333333333333,30,-0.30833333333333335,0.275
2023-04-30,-0.16666666666666666,6,-0.03333333333333333,-0.13333333333333333
2023-05-30,0.6666666666666666,45,-0.16666666666666666,0.8333333333333333
2023-05-31,0.5,46,0.6666666666666666,-0.16666666666666663
2023-06-28,0.20408163265306123,49,0.5,-0.29591836734693877
2023-06-29,0.5822784810126582,79,0.20408163265306123,0.378196848359597
2023-06-30,0.1935483870967742,31,0.5822784810126582,-0.38873009391588403
2023-07-26,0.7777777777777778,9,0.1935483870967742,0.5842293906810037
2023-07-27,-0.05263157894736842,19,0.7777777777777778,-0.8304093567251463
2023-07-28,0.2222222222222222,9,-0.05263157894736842,0.27485380116959063
2023-07-30,0.2,10,0.2222222222222222,-0.0222222222222222
2023-07-31,0.5384615384615384,13,0.2,0.3384615384615384
2023-08-29,0.9166666666666666,12,0.5384615384615384,0.3782051282051282
2023-08-30,0.3157894736842105,38,0.9166666666666666,-0.6008771929824561
2023-08-31,0.5161290322580645,31,0.3157894736842105,0.200339558573854
2023-09-21,0.3333333333333333,6,0.5161290322580645,-0.1827956989247312
2023-09-25,0.2,5,0.3333333333333333,-0.1333333333333333
2023-09-26,1.0,11,0.2,0.8
2023-09-27,0.48,25,1.0,-0.52
2023-09-30,0.5714285714285714,7,0.48,0.09142857142857141
2023-10-30,1.0,16,0.5714285714285714,0.4285714285714286
2023-10-31,0.13043478260869565,115,1.0,-0.8695652173913043
2023-11-27,1.0,20,0.13043478260869565,0.8695652173913043
2023-11-28,0.8,5,1.0,-0.19999999999999996
2023-11-29,0.96,25,0.8,0.15999999999999992
2023-11-30,0.4666666666666667,15,0.96,-0.4933333333333333
2023-12-25,0.8571428571428571,7,0.4666666666666667,0.3904761904761904
2023-12-26,0.4444444444444444,27,0.8571428571428571,-0.4126984126984127
2023-12-27,0.8867924528301887,53,0.4444444444444444,0.4423480083857443
2023-12-28,0.2631578947368421,38,0.8867924528301887,-0.6236345580933467
2023-12-29,0.3125,16,0.2631578947368421,0.04934210526315791
2023-12-30,0.7142857142857143,7,0.3125,0.4017857142857143
2024-01-29,-0.875,8,0.7142857142857143,-1.5892857142857144
2024-01-30,1.0,5,-0.875,1.875
2024-01-31,0.175,120,1.0,-0.825
2024-02-27,0.7804878048780488,41,0.175,0.6054878048780488
2024-02-28,0.782608695652174,46,0.7804878048780488,0.0021208907741251393
2024-02-29,0.775,40,0.782608695652174,-0.007608695652173925
2024-03-27,-0.16666666666666666,6,0.775,-0.9416666666666667
2024-03-28,0.6,25,-0.16666666666666666,0.7666666666666666
2024-03-29,0.5066666666666667,75,0.6,-0.09333333333333327
